ID_REF,GSM1302340,GSM1302341,GSM1302342,GSM1302343,GSM1302344,GSM1302345,GSM1302346,GSM1302347,GSM1302348,GSM1302349,GSM1302350,GSM1302351,GSM1302352,GSM1302353,GSM1302354,GSM1302355,GSM1302356,GSM1302357,GSM1302358,GSM1302359,GSM1302360,GSM1302361,GSM1302362,GSM1302363,GSM1302364,GSM1302365,GSM1302366,GSM1302367,GSM1302368,GSM1302369,GSM1302370,GSM1302371,GSM1302372,GSM1302373,GSM1302374,GSM1302375,GSM1302376,GSM1302377,GSM1302378,GSM1302379,GSM1302380,GSM1302381,GSM1302382,GSM1302383,GSM1302384,GSM1302385,GSM1302386,GSM1302387,GSM1302388,GSM1302389,GSM1302390,GSM1302391,GSM1302392,GSM1302393,GSM1302394,GSM1302395,GSM1302396,GSM1302397,GSM1302398,GSM1302399,GSM1302400,GSM1302401,GSM1302402,GSM1302403,GSM1302404,GSM1302405,GSM1302406,GSM1302407,GSM1302408,GSM1302409,GSM1302410,GSM1302411
hsa-miR-518b,592.638999946464,570.471999828998,540.582999938022,1233.40300414221,585.139000016877,559.333000020228,540.582999938022,629.750000116007,538.818999916086,516.652999883628,579.375000195618,529.582999962698,621.208000068919,511.568999867649,597.278000150373,552.027999959653,761.624999990862,650.068999812911,645.903000069429,527.431000170044,548.069000101434,550.444000026434,589.139000042886,513.903000024646,608.180999981083,484.9029999299,505.861000073587,529.972000152093,463.917000080607,420.194000140085,512.096999930346,649.02799987508,531.500000172745,645.903000069429,592.638999946464,546.068999998198,359.306000080671,523.305999949646,613.138999998898,537.749999842308,589.139000042886,408.207999958572,715.861000097921,597.888999949634,542.30600000063,538.818999916086,565.250000097351,410.06899997257,465.596999911087,745.639000180412,512.638999863091,445.930999864486,644.042000065333,496.83299988195,469.777999873594,458.042000134485,622.944000111315,664.819000206089,592.013999994392,578.291999992257,672.693999960439,572.11099993427,686.097000005109,511.568999867649,534.735999906055,460.01399987687,478.4170000872,535.875000067983,489.11100009732,240.666999940411,515.138999955305,240.666999940411
hsa-miR-518c-3p,489.11100009732,433.167000017105,541.069000107768,693.167000146451,474.180999908342,500.611000103378,420.194000140085,507.986000030936,478.4170000872,608.180999981083,522.528000078173,451.16699987711,514.528000080801,550.444000026434,586.972000134471,426.610999920847,559.333000020228,490.666999854686,343.097000007394,457.458000013721,461.583000129046,427.361000092655,727.596999842843,447.861000092184,499.347000169562,465.596999911087,655.181000112454,489.778000098783,443.306000058391,528.124999979167,433.167000017105,388.347000030795,426.610999920847,482.083000089753,420.194000140085,500.611000103378,458.722000145601,240.666999940411,510.91700005898,538.181000152585,377.20799988253,428.736000035203,440.485999889169,754.569000094153,548.069000101434,424.416999924494,532.972000032982,464.778000002834,343.097000007394,488.124999990072,562.77800003185,447.861000092184,441.221999857333,377.20799988253,479.652999948664,458.722000145601,559.333000020228,424.416999924494,528.124999979167,532.972000032982,475.957999976797,392.360999977129,472.153000049715,413.319000073144,606.36100006982,542.30600000063,487.361000022266,476.680999989639,626.167000032917,687.222000044212,538.181000152585,673.652999800768
hsa-miR-518c-5p,223.485999970001,651.902999916203,630.472000011224,604.229000117123,599.562000198335,533.617999962746,608.028000077141,566.972000006482,673.757000186156,600.736000050013,623.402999813833,533.617999962746,591.965000148883,677.596999973718,639.819000004543,572.805999870245,565.444000171238,707.402999950887,530.15999988913,782.291999838437,697.75699977474,592.832999936697,600.069000047211,628.645999871003,575.582999962939,597.444000166234,603.194000043873,421.764000062989,521.416999902509,692.506999970329,611.311999944772,540.055999957804,530.15999988913,589.500000008269,533.361000030417,584.839999901989,752.903000248995,494.2220001414,615.576000032548,638.70099996303,643.131999777535,601.603999939274,531.235999943327,700.506999994374,662.423999896924,646.896000075729,495.937999919296,648.068999994778,556.229000029814,551.652999981136,700.506999994374,594.271000018824,620.097000178094,648.068999994778,604.229000117123,433.749999860009,548.409999999465,582.451000128206,560.319000044008,550.48599988336,522.950999834103,648.068999994778,458.944000129031,523.785000152235,483.56900001804,585.235999832678,538.597000079926,474.937999914716,522.950999834103,477.500000025448,564.124999916913,470.59699988366
hsa-miR-518d-3p,560.666999899082,461.583000129046,505.207999913686,594.930999850335,622.027999939566,343.097000007394,426.610999920847,404.736000085205,472.750000016463,428.736000035203,468.957999948223,650.068999812911,629.750000116007,419.166999929201,528.124999979167,455.361000000044,728.5970002186,482.083000089753,440.485999889169,471.291999953048,350.721999948999,406.444000076746,472.153000049715,437.791999872358,537.125000084164,544.917000097289,399.193999863382,462.83299997884,479.027999941661,494.832999853837,511.568999867649,433.167000017105,635.693999828978,630.65300008592,512.638999863091,310.458000028913,546.514000176366,586.972000134471,468.957999948223,510.222000041824,411.694000043101,430.068999926989,397.153000029907,534.194000122554,548.569000149964,408.207999958572,421.542000038038,452.166999967858,473.513999973823,629.750000116007,465.596999911087,411.694000043101,638.24999981989,528.124999979167,366.70800010106,447.861000092184,525.791999968072,578.291999992257,397.153000029907,343.097000007394,565.250000097351,377.20799988253,449.485999986742,388.347000030795,458.722000145601,433.819000005824,240.666999940411,543.471999835305,626.596999907259,529.582999962698,597.278000150373,560.666999899082
hsa-miR-518e-3p,608.180999981083,589.139000042886,574.903000031741,1396.05600173948,592.638999946464,586.305999798122,498.111000071229,491.931000011037,523.986000096186,492.806000006443,583.61099981804,516.652999883628,737.597000135137,485.624999900676,489.778000098783,553.180999942991,743.860999917793,640.736000029736,568.861000062611,690.902999986019,571.528000117019,484.9029999299,634.943999889892,622.027999939566,662.389000176788,647.916999817436,468.957999948223,544.360999847498,586.972000134471,478.4170000872,592.013999994392,554.596999940434,588.277999935895,619.736000174988,497.542000120557,583.61099981804,540.014000085812,475.40299996115,638.24999981989,498.111000071229,362.610999886449,513.277999930472,680.194000073011,892.792000303856,695.528000215122,510.91700005898,521.985999970853,362.610999886449,568.069000067517,579.375000195618,580.62499989133,523.986000096186,691.95800020931,578.291999992257,543.471999835305,527.431000170044,578.291999992257,509.749999994136,544.917000097289,512.638999863091,572.11099993427,516.167000133874,533.541999964604,520.250000095441,437.791999872358,580.62499989133,394.472000062001,445.930999864486,620.388999904256,529.972000152093,474.180999908342,538.181000152585
hsa-miR-518f-3p,1020.04899990635,1016.13900010067,684.048999931387,897.465000295221,1039.31900303396,1169.04900363711,1279.78500279368,1418.15299665908,1361.20799998801,531.235999943327,1273.96500244364,1004.61799989175,1105.77100323785,1091.63200299916,1132.86800388461,1045.28500318222,1185.93799717145,923.64600020275,950.12499998317,732.299000240522,2161.66699867492,1582.82599622086,551.242999850396,1064.74300015493,1490.97899742472,996.902999956328,562.347000126516,769.708000062628,1002.18099982672,1039.31900303396,668.492999879569,1136.86800038818,991.450999741443,1148.2289976421,1039.31900303396,1109.33299698752,1296.07599740275,808.167000154872,1128.70099813262,853.938000098213,697.014000159414,947.931000136654,1055.0490009305,616.853999792582,853.938000098213,1268.54899837673,822.979000249109,655.097000169037,853.938000098213,1042.19400083122,1091.63200299916,929.763999820816,710.805999922534,1070.19399975933,779.180999938486,1113.6529983972,978.561999870237,1218.84000247471,716.978999792946,838.368000056373,1373.38200468963,736.228999869653,856.166999813974,678.978999943302,1067.25000203609,825.771000222579,917.222000110719,642.347000050229,590.938000196662,635.229000058567,644.014000129726,487.611000064752
hsa-miR-519a-3p,3793.68800433771,5023.52799058598,4281.18798599406,9467.7229869255,6200.53501972211,7322.75001281479,15271.868023827,26061.2770523491,12861.0490075795,15951.5270469049,26061.2770523491,18208.5209659509,30202.9018969331,9672.14602185959,3394.33299613876,16555.3120063293,3144.05600242339,21776.5900086963,24481.0760209979,20553.8339855138,4632.48599710548,28126.1460059375,24481.0760209979,21776.5900086963,28126.1460059375,38012.5700652046,15271.868023827,15271.868023827,24481.0760209979,28126.1460059375,19406.3960438429,15951.5270469049,12472.9169782843,24481.0760209979,15271.868023827,8174.05598936261,23094.0000555142,16555.3120063293,16555.3120063293,32308.8199947329,28126.1460059375,30202.9018969331,14194.6109760641,19406.3960438429,21776.5900086963,28126.1460059375,6441.12497954374,24481.0760209979,34360.1248935326,10153.6180098893,21776.5900086963,18208.5209659509,21776.5900086963,23094.0000555142,28126.1460059375,6441.12497954374,32308.8199947329,21776.5900086963,28126.1460059375,26061.2770523491,19406.3960438429,30202.9018969331,28126.1460059375,38012.5700652046,34360.1248935326,13275.4790349068,7846.47201535923,51789.2149858094,51789.2149858094,32308.8199947329,34360.1248935326,62396.604839173
hsa-miR-519b-3p,687.464999934818,687.464999934818,690.145999865558,474.937999914716,540.438000108829,621.659999966391,455.478999862715,361.15299992993,568.701000042446,572.125000158364,690.853999977117,670.424000148076,565.444000171238,936.839999816511,453.284999853746,511.075999961584,794.833000196876,413.736000114304,480.485999886005,498.902999878693,708.832999770044,610.986000170324,728.0620000745,624.069000077276,565.444000171238,532.77799992141,539.693999947348,475.381999844594,448.826000034131,639.291999969166,698.492999803758,541.160000073791,641.763999943306,572.125000158364,535.556000025313,697.014000159414,758.13200010986,508.95800015334,687.464999934818,436.624999880496,839.771000059983,526.194000057556,758.13200010986,488.917000152604,458.027999968945,425.638999880448,540.742999933605,591.493000030885,483.145999969362,694.250000087174,543.867999975945,716.181000094645,648.068999994778,683.256999963412,583.458000163097,645.43799981751,575.582999962939,656.478999775254,613.443999954327,661.097000159074,674.478999938584,444.416999984492,602.611000101821,498.173999931508,539.693999947348,509.70099982546,496.721999842066,676.84700004239,368.311999915767,495.937999919296,770.521000173887,694.250000087174
hsa-miR-519b-5p,540.055999957804,444.04199998513,535.556000025313,520.443999986039,543.221999854775,433.749999860009,524.075999923633,759.069000237342,514.228999934692,929.763999820816,474.472000059283,520.443999986039,528.264000145694,490.875000113508,480.131999932489,439.353999857923,418.561999907592,531.806000002064,474.124999903303,496.340000079024,506.416999847789,479.027999941661,1073.41700266034,394.353999992251,438.965000089678,385.319000128329,839.771000059983,550.923999836999,403.854000131253,428.81900013649,452.868000054361,468.846999974149,459.298999918276,421.764000062989,368.311999915767,502.743000029685,650.659999975412,441.021000096074,484.361000031625,454.792000138638,612.000000130379,423.132000117915,570.443999960186,539.228999914933,543.867999975945,496.340000079024,832.278000013782,447.611000116243,559.111000103535,445.811999947111,536.15999984029,435.125000083339,411.58299992977,394.353999992251,421.764000062989,449.208000039302,628.125000020179,588.499999984318,462.28499992393,476.95800011219,414.812000023205,547.075999832004,386.56899989386,476.611000152578,534.681000016589,529.353999924151,598.784999973826,440.048999894711,516.756999881133,434.353999923714,427.541999919605,456.15299995985
hsa-miR-519c-3p,704.13900008815,704.13900008815,765.360999901178,528.818999885924,586.305999798122,649.02799987508,521.985999970853,529.972000152093,602.360999920835,586.305999798122,779.207999901151,588.277999935895,578.749999940789,829.568999915296,472.750000016463,639.264000054845,746.861000250832,404.736000085205,691.95800020931,435.568999987521,741.903000001554,659.16699991144,711.832999830436,588.277999935895,598.485999877053,444.193999868515,586.972000134471,513.277999930472,536.458000114528,669.208000069327,702.6669998508,563.403000175994,642.444000011191,591.389000019175,500.611000103378,695.528000215122,616.056000073302,537.125000084164,702.6669998508,596.306000027938,549.16700005275,481.249999843343,618.277999870193,562.181000143079,506.555999922244,463.917000080607,470.59699988366,634.943999889892,370.124999954448,774.943999976496,620.388999904256,733.055999764739,594.930999850335,731.458000205159,610.777999789149,657.139000110844,552.027999959653,634.193999915508,588.277999935895,599.250000145739,658.125000039651,608.95799988791,691.95800020931,434.653000004079,535.5000000927,460.680999854987,538.818999916086,484.236000102006,484.236000102006,508.542000144866,591.389000019175,484.9029999299
hsa-miR-519d,499.916999859437,557.833000045383,462.222000005578,530.681000161187,464.778000002834,419.166999929201,475.957999976797,499.916999859437,590.472000055018,821.652999886176,486.042000145537,598.485999877053,482.083000089753,551.042000047704,490.666999854686,529.582999962698,439.555999982556,466.486000036256,441.221999857333,515.568999969129,575.457999848054,462.83299997884,838.472000059898,462.83299997884,431.957999902132,437.791999872358,889.013999841126,513.903000024646,540.582999938022,521.985999970853,560.666999899082,413.319000073144,445.930999864486,411.694000043101,461.583000129046,632.542000037832,769.000000020348,504.444000126416,492.806000006443,498.76399991556,510.222000041824,603.11099992102,439.555999982556,537.749999842308,573.389000122525,597.888999949634,675.568999937937,481.249999843343,553.180999942991,454.832999922488,556.58299994495,471.291999953048,484.236000102006,435.568999987521,453.153000113299,453.791999868609,646.721999922192,643.207999933951,499.347000169562,450.485999972911,485.624999900676,547.361000104647,487.361000022266,499.916999859437,494.832999853837,565.250000097351,542.30600000063,453.791999868609,350.721999948999,584.25000008795,520.250000095441,583.61099981804
hsa-miR-519e-3p,763.318999946071,896.181000059282,748.625000011215,557.277999933589,681.12500019993,728.5970002186,515.138999955305,724.125000164728,717.305999896808,606.36100006982,771.000000045407,571.528000117019,599.250000145739,989.528000285147,569.652999855633,752.458000059494,974.235999695026,411.694000043101,590.472000055018,507.986000030936,782.87500021447,720.93099994094,566.667000020503,613.138999998898,633.471999910024,622.944000111315,585.139000016877,638.24999981989,500.611000103378,603.681000055447,726.166999780419,681.12500019993,730.221999764754,585.139000016877,674.583000193323,873.277999750562,672.693999960439,644.805999928582,855.916999921487,549.778000123225,665.846999975101,594.930999850335,670.04199994881,591.389000019175,512.096999930346,525.791999968072,450.485999972911,667.305999769021,385.610999873009,817.125000092285,722.360999934495,809.874999737418,583.61099981804,688.444000011893,683.514000118209,792.249999790098,644.042000065333,717.305999896808,673.652999800768,494.207999904162,733.055999764739,424.416999924494,745.639000180412,442.360999933682,546.514000176366,465.596999911087,460.680999854987,436.500000112116,467.153000142798,589.819000060919,546.514000176366,574.000000129033
hsa-miR-519e-5p,462.222000005578,485.624999900676,477.805999940978,470.59699988366,459.166999979151,556.58299994495,530.681000161187,604.999999932083,542.86100005561,781.028000023616,494.832999853837,594.500000104809,400.847000083377,572.11099993427,696.792000022463,529.972000152093,474.680999962254,591.389000019175,503.278000048466,521.985999970853,612.569000106585,464.778000002834,812.013999986955,525.278000096006,394.472000062001,394.472000062001,927.806000184767,601.361000093906,544.360999847498,555.347000112662,484.9029999299,535.5000000927,506.555999922244,443.306000058391,479.652999948664,519.318999946475,658.125000039651,609.847000099262,446.860999960867,475.957999976797,546.068999998198,597.278000150373,543.806000007757,564.72200016484,519.318999946475,613.138999998898,651.056000168145,479.652999948664,431.208000072148,477.805999940978,500.611000103378,463.917000080607,446.860999960867,400.847000083377,513.903000024646,445.097000097711,596.306000027938,628.319000098103,491.931000011037,283.568999932159,478.4170000872,535.875000067983,436.500000112116,464.778000002834,543.806000007757,434.653000004079,524.680999950304,514.528000080801,435.568999987521,503.90299991914,582.360999986439,525.791999968072
hsa-miR-520a-3p,590.472000055018,724.125000164728,659.16699991144,475.40299996115,549.16700005275,597.888999949634,468.957999948223,586.972000134471,580.124999931564,789.972000184442,761.624999990862,629.167000122028,553.180999942991,514.528000080801,499.347000169562,576.01400019139,452.166999967858,390.333000064973,527.431000170044,522.528000078173,694.02799994206,649.02799987508,557.833000045383,520.861000129666,534.194000122554,466.486000036256,694.02799994206,377.20799988253,383.01400011944,573.389000122525,557.277999933589,599.250000145739,546.514000176366,484.9029999299,456.818999922278,664.819000206089,689.597000017897,563.999999844098,495.542000010231,425.486000094944,593.610999973811,564.72200016484,555.347000112662,477.306000081988,492.806000006443,473.513999973823,507.986000030936,534.735999906055,390.333000064973,500.611000103378,541.069000107768,518.417000063671,447.861000092184,638.24999981989,514.528000080801,533.541999964604,545.403000142764,471.291999953048,494.207999904162,435.568999987521,525.278000096006,466.486000036256,512.096999930346,507.986000030936,501.249999881077,466.486000036256,502.597000147508,89.6939999711677,508.542000144866,270.403000086594,474.680999962254,383.01400011944
hsa-miR-520a-5p,1290.33300100351,1304.52799572666,920.068999990392,485.624999900676,1118.34699937281,1136.0140007185,720.93099994094,681.12500019993,1264.2079963556,794.208000069601,838.472000059898,781.028000023616,734.750000177572,1318.29200409459,876.360999747421,726.166999780419,1078.77799990577,829.568999915296,696.792000022463,616.777999950568,1197.83300122332,719.346999812923,1017.13900007638,827.208000043942,655.181000112454,626.596999907259,705.263999800144,543.806000007757,726.166999780419,927.806000184767,674.583000193323,724.125000164728,800.638999743214,456.818999922278,845.18099996345,1111.23600160437,920.068999990392,571.528000117019,876.360999747421,644.042000065333,613.138999998898,673.652999800768,863.402999758039,605.652999910815,821.652999886176,698.207999989892,750.306000044631,696.792000022463,683.514000118209,932.208000264918,1030.832998122,1017.13900007638,748.625000011215,923.527999986792,756.471999792945,1071.65299770575,1442.62500498199,1382.81900363182,769.000000020348,2222.94400096409,882.916999872451,585.139000016877,598.485999877053,720.93099994094,731.458000205159,789.972000184442,733.055999764739,800.638999743214,734.750000177572,1411.23599643384,876.360999747421,1521.56899659605
hsa-miR-520b,568.701000042446,594.271000018824,657.166999926301,460.631999973688,498.173999931508,461.40299996898,466.299000152265,505.056000072166,528.264000145694,740.583000122725,522.950999834103,636.812000059821,513.181000040046,544.367999975672,609.243000113576,534.299000083801,470.59699988366,394.353999992251,465.79199994202,467.854000053351,583.458000163097,493.832999851847,638.70099996303,452.068999991562,497.924000021157,613.895999834638,616.292000179054,524.075999923633,378.854000013935,648.778000221096,509.924000003823,549.236000128406,543.867999975945,446.89600014301,513.832999828206,701.374999771467,596.889000188919,506.416999847789,454.174000146439,495.937999919296,641.006999825493,468.263999967461,593.806000160068,471.610999886356,400.90999993853,488.917000152604,223.485999970001,531.235999943327,421.764000062989,467.285000083512,436.624999880496,529.73600001529,465.35400002767,546.660000062503,490.31200011719,475.868000089152,553.367999848379,511.375000039683,509.3470000518,439.353999857923,401.818999929578,513.832999828206,505.805999826612,473.903000123387,533.617999962746,425.638999880448,492.292000001267,720.806000004294,397.075999960323,702.763999959156,747.305999850718,446.271000046276
