ID_REF,GSM1195876,GSM1195877,GSM1195878,GSM1195879,GSM1195880,GSM1195881,GSM1195882,GSM1195883,GSM1195884,GSM1195885,GSM1195886,GSM1195887,GSM1195888,GSM1195889,GSM1195890,GSM1195891,GSM1195892,GSM1195893,GSM1195894,GSM1195895,GSM1195896,GSM1195897,GSM1195898,GSM1195899,GSM1195900,GSM1195901,GSM1195902,GSM1195903,GSM1195904,GSM1195905,GSM1195906,GSM1195907,GSM1195908,GSM1195909,GSM1195910,GSM1195911,GSM1195912,GSM1195913,GSM1195914,GSM1195915,GSM1195916,GSM1195917,GSM1195918,GSM1195919,GSM1195920,GSM1195921,GSM1195922,GSM1195923,GSM1195924,GSM1195925,GSM1195926,GSM1195927,GSM1195928,GSM1195929,GSM1195930,GSM1195931,GSM1195932,GSM1195933,GSM1195934,GSM1195935,GSM1195936,GSM1195937,GSM1195938,GSM1195939,GSM1195940,GSM1195941,GSM1195942,GSM1195943,GSM1195944,GSM1195945,GSM1195946,GSM1195947,GSM1195948,GSM1195949,GSM1195950,GSM1195951,GSM1195952,GSM1195953,GSM1195954,GSM1195955
hsa-let-7f-2-3p,1422.2749952183,1046.23100165345,1086.81199631341,1077.12500108851,1003.08100022253,1237.44399761263,1548.44399671042,1181.01200133045,1363.08099966613,1273.33100130844,1561.11299549644,1592.64999957275,1174.74999804483,3241.8439918999,1292.08100048531,1411.37500468284,1227.04999830399,1126.17499642469,1679.42499581721,1021.24400003253,1088.7869991733,1777.10599777737,1155.08799860817,1295.66200414677,1172.03099679919,1337.23099999107,909.544000002852,1126.17499642469,896.193999699038,1174.74999804483,887.400000041297,1050.75600057118,913.019000064357,983.13099998188,1117.18100189411,1240.63099641706,870.693999722718,1443.9499987911,1411.37500468284,1363.08099966613,1144.5309968613,589.480999937243,859.925000193732,694.843999850442,857.125000079691,1310.41899564071,1237.44399761263,1230.66899807272,1034.32500188429,1139.65000129856,1299.45000199632,1411.37500468284,1075.10599709,1079.281002742,944.069000173639,1812.68099609467,1281.39999975406,688.124999784537,1541.88699652361,875.699999796015,552.763000065222,1208.69399630472,559.036999951239,1281.39999975406,653.375000018164,592.375000150855,580.994000167678,648.819000092008,586.569000051399,670.080999919378,628.77499992486,769.949999976323,1367.65600350595,630.588000098061,624.318999997314,1561.11299549644,1060.41200284941,632.22499979486,1377.59999760375,1003.08100022253
hsa-let-7f-5p,567.30599990415,595.806000024788,596.643999959733,671.724999837525,613.219000008491,707.768999777224,592.000000152258,596.105999855592,595.21899989324,600.94400001807,617.169000058283,591.111999831669,566.480999975838,761.574999857832,730.730999868212,728.162000118589,755.969000063845,588.48699980943,649.555999776451,549.069000023168,555.111999875337,571.525000058057,588.375000126731,579.699999844437,551.69999990603,576.205999979485,462.124999940022,530.361999993373,554.793999989899,544.331000156034,549.830999828079,588.48699980943,568.162000110716,559.424999900253,621.650000106978,680.294000103793,581.536999942795,587.90000013411,602.369000167206,542.150000015103,636.974999796594,698.924999774673,636.974999796594,579.699999844437,637.106000006095,689.205999990829,638.519000136462,624.94999985735,652.081000172795,704.124999883085,578.743999837766,684.762999973654,604.70600020503,640.568999951772,638.325000075523,600.762999933196,659.138000208598,534.500000103554,642.111999872182,522.793999823651,569.005999929262,515.544000020701,897.35600003203,788.556000169612,592.249999901381,650.744000222792,673.056000203849,621.47499995691,667.130999877554,755.969000063845,593.662000136862,811.130999746072,635.199999887465,572.412000118502,696.000000072978,696.768999956595,670.537000225494,671.92500012978,648.819000092008,645.362000093965
hsa-let-7g-3p,668.056000046652,602.869000192428,596.825000118562,672.124999871665,613.399999838579,713.156000153535,588.637999837115,596.224999889827,595.374999849774,601.080999844277,617.361999836579,591.193999799527,823.894000094564,879.043999907021,652.593999993194,930.486999967773,855.394000289343,602.661999858128,652.380999881211,625.550000042747,501.431000163607,546.031000056196,588.48699980943,523.780999971371,534.700000181141,532.338000025856,538.768999870202,608.575000189425,509.706000073905,574.374999929771,590.786999845774,595.21899989324,546.031000056196,631.862000032695,603.012999814845,631.53700010423,581.700000023956,588.069000101659,631.093999957931,689.749999831101,613.743999832638,742.74400022108,637.106000006095,722.036999940848,589.268999875389,677.230999833459,651.700000122401,603.381000156414,702.175000153818,651.294000097542,578.930999857242,573.569000084575,681.250000211713,638.174999971808,616.843999852195,586.24399999805,612.85600000578,536.0750000083,510.987000050584,493.443999968664,486.80599983255,510.030999850898,543.268999958638,532.719000047155,556.706000011567,589.480999937243,538.975000057452,550.706000128297,519.180999976509,521.112000055846,540.213000040304,521.112000055846,497.037999997026,523.530999927628,531.549999873794,558.888000114685,583.680999955298,627.562000015697,577.243999933891,573.89399998513
hsa-let-7g-5p,567.412000091356,483.163000019983,596.944000107862,658.024999847046,613.537000194708,567.412000091356,618.818999896771,596.381000184229,595.494000074009,601.256000190743,617.587999799235,591.343999935839,566.643999863283,602.074999867037,620.274999802133,640.919000061491,586.125000113423,480.381000146356,565.193999948559,549.275000182168,501.769000163251,611.144000003449,588.637999837115,372.906000048174,520.393999982526,489.018999830932,531.019000096776,485.781000078465,529.40599984495,462.124999940022,443.987000104424,477.669000038849,411.205999957071,491.687999880482,595.674999844,550.706000128297,581.843999875188,588.180999836478,517.069000057249,542.312000115702,489.831000135843,563.356000176312,524.287000140684,492.075000135394,584.781000195892,511.437999992913,580.4629999146,589.268999875389,531.911999824205,573.713000096145,579.037000003616,573.713000096145,459.200000067375,535.118999952449,504.343999922846,555.48099983048,527.237000026704,459.200000067375,446.643999883539,545.287000058525,491.687999880482,558.231000014979,518.855999824699,495.812000079417,508.275000018308,478.099999847449,512.793999848782,465.806000112302,487.756000119877,478.099999847449,516.531000035363,471.205999899962,518.33799995236,436.843999958529,525.762999924691,473.15600008285,446.643999883539,506.700000128131,468.293999853317,512.012999835419
hsa-let-7i-3p,567.562000160851,518.855999824699,597.099999797807,571.525000058057,613.743999832638,708.200000243699,647.925000167036,596.512999935628,595.674999844,601.388000138535,617.744000066663,591.52499992907,566.837999818327,681.856000047706,791.111999771773,819.681000142143,755.012999944922,560.000000021362,565.380999982897,549.443999919743,737.05599986544,683.219000017259,718.224999985615,577.856000013478,510.987000050584,539.380999814324,649.893999791905,664.043999791319,613.844000054516,503.01300011274,540.361999987443,478.099999847449,604.156000077905,548.694000107748,683.505999986834,708.568999760689,737.505999862582,588.375000126731,551.956000090329,657.194000129857,644.325000172807,642.299999902364,672.618999925027,698.318999922616,685.337999886849,765.931000258549,711.018999932809,614.018999856541,571.349999842723,650.055999869992,579.22500005054,573.89399998513,654.693999973774,741.044000069428,768.712999779783,623.318999826562,717.868999856207,626.330999959535,519.675000095794,559.036999951239,637.443999858088,835.469000006839,2262.51899646024,607.675000080085,611.144000003449,629.594000055633,715.299999851132,789.905999779391,677.661999929273,582.330999800559,696.249999890259,645.231000026495,639.674999896922,623.318999826562,580.4629999146,719.219000203857,635.974999797652,755.012999944922,601.388000138535,869.880999945886
hsa-let-7i-5p,567.730999809644,529.837999878084,597.268999824232,571.694000055068,613.844000054516,504.019000074122,517.35600001921,596.643999959733,595.806000024788,601.580999903526,617.937999893793,591.662000200857,566.993999902823,510.400000043336,572.143999990705,491.687999880482,524.287000140684,544.080999883928,658.474999910778,639.674999896922,660.981000176857,547.143999918918,588.825000162039,579.850000010814,499.187999865472,592.656000160263,516.300000045093,602.536999817537,493.980999915507,549.275000182168,582.736999960929,560.544000057678,585.130999859154,693.969000005443,419.575000127696,550.888000085384,582.024999994439,588.48699980943,582.024999994439,542.537000087483,524.431000003775,521.112000055846,543.268999958638,539.955999875698,539.380999814324,560.544000057678,573.89399998513,543.669000074747,548.694000107748,468.293999853317,579.418999900406,574.030999937292,506.024999883282,562.236999890332,562.075000057555,554.793999989899,489.018999830932,659.138000208598,605.800000038627,741.968999979144,666.661999981378,643.344000192523,635.199999887465,531.725000120642,523.286999872375,582.736999960929,552.356000140058,567.562000160851,556.374999825582,557.350000189707,606.463000120756,572.900000180748,574.030999937292,699.518999763108,563.555999816889,552.980999923682,565.662000097684,599.375000039263,524.949999824423,530.361999993373
hsa-miR-1,567.850000086628,598.224999939864,597.500000054623,571.862000001802,614.018999856541,588.48699980943,643.506000062445,596.825000118562,595.974999809422,601.749999802087,618.105999900341,591.731000116196,567.124999862122,639.194000096008,615.825000034188,611.456000080876,623.880999878098,715.299999851132,650.599999930656,688.906000020283,646.324999889511,682.393999771426,588.986999872025,724.78700011352,623.318999826562,734.674999864865,621.831000174291,676.668999928102,635.369000147335,708.911999992583,680.112000032626,675.849999943366,660.606000075164,557.849999827629,593.393999955901,635.638000048299,582.180999856811,588.637999837115,593.519000168445,542.763000086096,561.149999850399,539.199999889934,495.812000079417,499.586999955319,529.137999904344,552.356000140058,512.343999911731,583.218999977518,521.380999864881,548.319000143176,579.543999955784,574.205999831105,536.799999883605,544.888000095442,529.837999878084,629.244000102043,570.874999850285,701.187999965524,584.956000002598,621.138000214567,616.687999884885,621.47499995691,461.518999898064,695.137999825394,612.013000063604,642.643999921418,1001.41900012463,632.061999804988,617.744000066663,583.987000106985,637.443999858088,601.749999802087,644.706000061202,566.293999986621,557.243999827131,565.380999982897,575.3440001027,482.630999855128,555.48099983048,531.549999873794
hsa-miR-100-3p,694.25599993202,411.205999957071,597.606000116345,571.975000179512,614.174999843986,596.825000118562,517.630999952408,596.944000107862,596.105999855592,601.919000031469,618.213000090997,591.844000044684,567.30599990415,557.243999827131,555.312000030174,570.213000116324,575.024999864678,678.5749999248,565.662000097684,718.224999985615,606.218999883302,605.800000038627,589.080999846834,597.500000054623,651.700000122401,646.131000028693,698.318999922616,660.981000176857,593.662000136862,692.80599987643,686.205999875679,658.875000123522,650.256000024095,708.200000243699,665.262999903606,551.106000024127,582.330999800559,588.825000162039,595.974999809422,542.950000060022,531.725000120642,400.000000062459,518.549999965426,480.993999846015,477.669000038849,482.155999989939,501.431000163607,574.205999831105,492.961999847646,516.300000045093,579.699999844437,574.374999929771,554.625000069113,505.7369998345,492.961999847646,615.005999901308,496.693999971238,580.4629999146,573.388000156887,638.693999810827,571.694000055068,588.986999872025,607.14400020473,591.193999799527,621.650000106978,614.831000068281,522.99999991048,608.28700009682,622.387999838829,563.887999876209,660.774999945317,573.081000187745,558.530999910554,576.68099989952,580.862000164696,569.194000019187,582.330999800559,675.412000180484,567.30599990415,636.449999945063
hsa-miR-100-5p,568.005999936794,637.825000034865,597.756000043892,572.143999990705,614.343999915242,567.562000160851,517.899999912593,597.099999797807,596.224999889827,602.074999867037,618.331000152362,592.000000152258,567.412000091356,622.661999802162,631.406000066643,558.530999910554,598.699999993593,521.112000055846,665.262999903606,606.218999883302,569.005999929262,626.463000109987,589.268999875389,706.780999991071,702.855999843373,723.974999796573,658.875000123522,657.380999907992,772.643999844372,555.48099983048,778.049999893632,718.549999861119,699.837999835427,611.456000080876,685.630999780994,737.05599986544,582.506000063305,588.986999872025,574.205999831105,742.319000236886,611.650000007519,529.574999904199,536.799999883605,538.274999923262,563.056000119438,585.31899982639,504.343999922846,680.294000103793,589.480999937243,593.193999932848,579.850000010814,574.580999996724,597.756000043892,599.081000175111,579.850000010814,676.075000129681,636.974999796594,634.880999999788,547.887999831236,585.750000055569,597.756000043892,581.536999942795,556.868999947292,541.11900018564,608.856000123458,523.530999927628,570.755999820823,574.861999814452,549.275000182168,527.475000072501,559.036999951239,470.211999871215,551.106000024127,554.475000064071,667.593999854632,607.443999919693,613.399999838579,516.300000045093,558.888000114685,520.1619999909
hsa-miR-101-3p,806.87499989119,499.187999865472,597.887999942766,572.412000118502,614.524999984147,587.300000158737,610.331000180242,597.268999824232,840.680999830656,602.231000059474,618.480999806916,712.025000244754,567.562000160851,574.374999929771,632.419000198332,551.69999990603,594.319000204999,825.044000104692,776.77499996014,933.043999797784,754.555999837712,987.593999743736,885.219000185792,699.213000035244,720.625000230202,737.850000226505,789.905999779391,773.168999989483,780.555999991087,779.39399997756,789.905999779391,684.762999973654,781.987000169871,725.780999893477,769.293999964297,776.244000108294,685.006000219633,724.344000151746,581.161999830716,758.075000010329,594.999999919451,468.293999853317,535.550000044102,541.880999812679,554.793999989899,570.874999850285,489.33699984169,647.737000106451,643.187999960666,621.138000214567,579.999999993996,664.919000036342,667.130999877554,510.719000134861,521.380999864881,673.594000227489,532.943999970282,1083.95599955817,722.6999999638,930.486999967773,906.181000130473,1165.86900207647,606.463000120756,668.987000029541,723.974999796573,659.744000051536,793.850000025231,821.375000121704,1008.42499967735,679.605999813833,947.099999903642,829.625000061634,834.606000012638,874.575000064168,864.463000015318,749.787000104146,758.075000010329,628.255999982371,654.474999940886,584.956000002598
